family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Multiplication,Multiplication,,2025,3.1,O(n^log_2 (3)),,4.0,O(n log n),1.0,,,,,['Vivien Vandaele'],Quantum binary field multiplication with subquadratic Toffoli gate count and low space-time cost,https://arxiv.org/abs/2501.16136,10.48550/arXiv.2501.16136,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2000,2.0,O(log(n)),,4.0,O(n(logn)^2 log log n),1.0,,,,,"Richard Cleve, John Watrous (University of Calgary)",Fast parallel circuits for the quantum Fourier transform,https://arxiv.org/abs/quant-ph/0006004,https://doi.org/10.48550/arXiv.quant-ph/0006004,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2000,4.0,O(n log (n)),,,,1.0,,,,,L. Hales and S. Hallgren,An improved quantum Fourier transform algorithm and applications,https://ieeexplore.ieee.org/document/892139,doi: 10.1109/SFCS.2000.892139,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2019,4.0,T Count: O(n log (n)),,,,1.0,,,,,"Yunseong Nam, Yuan Su, Dmitri Maslov",Approximate Quantum Fourier Transform with O(nlog(n)) T gates,https://arxiv.org/abs/1803.04933,https://doi.org/10.48550/arXiv.1803.04933,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2024,4.0,"(Circuit 1 -- T Count: O(nlog(n)), T Depth: O(n log(n))) (Circuit 2 -- T Depth: O(n log log n), T Count: O(nlog(n))",,,,1.0,,,,,"Byeongyong Park, Doyeol Ahn (David)",T-count optimization of approximate quantum Fourier transform,https://arxiv.org/abs/2203.07739,https://doi.org/10.48550/arXiv.2203.07739,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2007,3.0,Depth: O(n),,,Ancilla: 0,1.0,,,,,D. Maslov,Linear Depth Stabilizer and Quantum Fourier Transformation Circuits with no Auxiliary Qubits in Finite Neighbor Quantum Architectures,https://arxiv.org/abs/quant-ph/0703211,https://doi.org/10.48550/arXiv.quant-ph/0703211,Quantum Algorithm,
Dft,Dft,QFT or AQFT,2007,3.0,Depth: O(n),,4.0,O(n log (n)),1.0,,,,,"Takahashi, Yasuhiro & Kunihiro, Noboru & Ohta, Kazuo",The quantum Fourier transform on a linear nearest neighbor architecture,https://www.researchgate.net/publication/220436036_The_quantum_Fourier_transform_on_a_linear_nearest_neighbor_architecture,https://doi.org/10.26421/QIC7.4-7,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2025,,,,,,1.0,,,,,"Tongyang Li, Xinzhao Wang, Yexin Zhang",Near-Optimal Quantum Algorithms for Computing (Coarse) Correlated Equilibria of General-Sum Games,https://arxiv.org/pdf/2510.16782,https://doi.org/10.48550/arXiv.2510.16782,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2019,,,,,,1.0,,,,,"Joran van Apeldoorn, András Gilyén",Quantum algorithms for zero-sum games,https://arxiv.org/pdf/1904.03180,https://doi.org/10.48550/arXiv.1904.03180,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2019,,,,,,1.0,,,,,"Tongyang Li, Shouvanik Chakrabarti, Xiaodi Wu",Sublinear quantum algorithms for training linear and kernel-based classifiers,https://arxiv.org/pdf/1904.02276,https://doi.org/10.48550/arXiv.1904.02276,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2024,,,,,,1.0,,,,,"Po-Wei Huang, Patrick Rebentrost",Quantum algorithm for large-scale market equilibrium computation,https://proceedings.neurips.cc/paper_files/paper/2024/file/14bc8528848d15d2d096127d0f64c1f9-Paper-Conference.pdf,https://doi.org/10.48550/arXiv.2405.13788,Quantum Algorithm,
Nash Equilbrium,Nash Equilbrium,,2023,,,,,,1.0,,,,,"Francisca Vasconcelos, Emmanouil-Vasileios Vlatakis-Gkaragkounis, Panayotis Mertikopoulos, Georgios Piliouras, Michael I. Jordan",A Quadratic Speedup in Finding Nash Equilibria of Quantum Zero-Sum Games,https://quantum-journal.org/papers/q-2025-05-06-1737/pdf/,https://doi.org/10.22331/q-2025-05-06-1737,Quantum Algorithm,
Lu Decomposition,Lu Decomposition,,2025,6.0,n^3,,,,1.0,,,,Quantum Computer,"['Sam Griffiths', 'Asmae Benhemou', 'Dan Browne']","['Online Gaussian elimination for quantum LDPC
decoding']",https://arxiv.org/pdf/2504.05080,,Quantum Algorithm,
Factorization Of Polynomials Over Finite Fields,Factorization Of Polynomials Over Finite Fields,Doliskani,2019,3.5,O(n^{4/3 + o(1)} log^{2 + o(1)} (q)),,,,,,,,,['Javad Doliskani'],['Toward an Optimal Quantum Algorithm for Polynomial Factorization over Finite Fields'],https://doliskani.net/jake/pdfs/quantum_poly_factor.pdf,10.48550/arXiv.1807.09675,Quantum Algorithm,
Nearest Neighbor,Nearest Neighbor,,1996,,,,,,,,,,,"Christoph Durr, Peter Hoyer",A quantum algorithm for finding the minimum,https://arxiv.org/pdf/quant-ph/9607014,,,
Nearest Neighbor,Nearest Neighbor,,2013,,,,,,,,,,,"Seth Lloyd, Masoud Mohseni, Patrick Rebentrost",Quantum algorithms for supervised and unsupervised machine learning,https://arxiv.org/pdf/1307.0411,,,
Nearest Neighbor,Nearest Neighbor,,2014,,,,,,,,,,,"Nathan Wiebe, Ashish Kapoor, Krysta M Svore",Quantum Algorithms for Nearest-Neighbor Methods for Supervised and Unsupervised Learning,https://arxiv.org/pdf/1401.2142,,,
Nearest Neighbor,Nearest Neighbor,,2013,,,,,,,,,,,"Esma Aimeur, Gilles Brassard, Sebastien Gambs",Quantum speed-up for unsupervised learning,https://link.springer.com/article/10.1007/s10994-012-5316-5,,,
Nearest Neighbor,Nearest Neighbor,,2018,,,,,,,,,,,"Iordanis Kerenidis, Jonas Landman, Alessandro Luongo, Anupam Prakash",q-means: A quantum algorithm for unsupervised machine learning,https://arxiv.org/pdf/1812.03584,,,
Nearest Neighbor,Nearest Neighbor,,2024,,,,,,,,,,,"Minbo Gao, Zhengfeng Ji, Qisheng Wang",Quantum Approximate k-Minimum Finding,https://arxiv.org/pdf/2412.16586,,,
Nearest Neighbor,Nearest Neighbor,,2025,,,,,,,,,,,"Shuyin Xia, Xiaojiang Tian, Suzhen Yuan, Jeremiah D. Deng",Efficient Quantum Approximate kNN Algorithm via Granular-Ball Computing,https://arxiv.org/pdf/2505.23066,,,
Nearest Neighbor,Nearest Neighbor,,2021,,,,,,,,,,,"Afrad Basheer, A. Afham, Sandeep K. Goyal",Quantum k nearest neighbors algorithm,https://arxiv.org/pdf/2003.09187,,,
Nearest Neighbor,Nearest Neighbor,,2023,,,,,,,,,,,"Congcong Feng, Bo Zhao, Xin Zhou, Xiaodong Ding, Zheng Shan",An Enhanced Quantum K-Nearest Neighbor Classification Algorithm Based on Polar Distance,https://www.mdpi.com/1099-4300/25/1/127,,,
Nearest Neighbor,Nearest Neighbor,,2022,,,,,,,,,,,"“Gao L-Z, Lu C-Y, Guo G-D, Zhang X and Lin S”",Quantum K-nearest neighbors classification algorithm based on Mahalanobis distance,https://www.frontiersin.org/journals/physics/articles/10.3389/fphy.2022.1047466/epub,,,
Nearest Neighbor,Nearest Neighbor,,2024,,,,,,,,,,,"Enrico Zardini, Enrico Blanzieri, Davide Pastorello",A quantum k-nearest neighbors algorithm based on the Euclidean distance estimation,https://link.springer.com/article/10.1007/s42484-024-00155-2,,,
Nearest Neighbor,Nearest Neighbor,,2022,,,,,,,,,,,"L. F. Quezada, Shi-Hai Dong, Guo-Hua Sun",Quantum version of the k-NN classifier based on a quantum sorting algorithm,https://arxiv.org/pdf/2204.03761,,,
Nearest Neighbor,Nearest Neighbor,,2017,,,,,,,,,,,"Yue Ruan, Xiling Xue, Heng Liu, Jianing Tan, Xi Li",Quantum Algorithm for K-Nearest Neighbors Classification Based on the Metric of Hamming Distance,https://link.springer.com/article/10.1007/s10773-017-3514-4,,,
Nearest Neighbor,Nearest Neighbor,,2021,,,,,,,,,,,"Jing Li, Song Lin, Kai Yu, Gongde Guo",Quantum K-nearest neighbor classification algorithm based on Hamming distance,https://arxiv.org/pdf/2103.04253,,,
Graph Isomorphism,Graph Isomorphism,,2023,7.0,O(N^7),N: number of vertices in graphs,,,1.0,,,,,"['Zhan Li', 'Yang Wang', 'Xiaogang Qiang']",A Graph Isomorphism Algorithm based on Continuous-Time Quantum Walks,https://ieeexplore.ieee.org/document/10336587,10.1109/CCPQT60491.2023.00010,,stated complexity given in terms of resources needed for a classical simulation of a CTQW. Possible improvement/quantum resource usage may be found by looking at CTQW implementations on quantum computers: https://arxiv.org/pdf/2212.08889
Maximum Cut,Maximum Cut,,2023,8.0,O(2^(n/2)),"n: number of vertices
m: number of edges",5.0,O(m^2),1.0,,,,,"['Weng-Long Chang', 'Renata Wong', 'Wen-Yu Chung', 'Yu-Hao Chen', 'Ju-Chin Chen', 'Athanasios V. Vasilakos']",Quantum Speedup for the Maximum Cut Problem,https://arxiv.org/abs/2305.16644,10.48550/arXiv.2305.16644,Quantum Algorithm,
Boolean Satisfiability,k-SAT,,2024,,,,,,,,,,,"['Yipei Zhang', 'Philippe Lewalle', 'K. Birgitta Whaley']",Solving k-SAT problems with generalized quantum measurement,https://arxiv.org/abs/2406.13611,10.48550/arXiv.2406.13611,Quantum Algorithm,
Boolean Satisfiability,3-SAT,,2017,,,,,,,,,,,"['Simon C. Benjamin', 'Liming Zhao', 'Joseph F. Fitzsimons']",Measurement-driven quantum computing: Performance of a 3-SAT solver,https://arxiv.org/pdf/1711.02687,10.48550/arXiv.1711.02687,Quantum Algorithm,
Boolean Satisfiability,2-SAT,,2016,,,,,,,,,,,"['Itai Arad', 'Miklos Santha', 'Aarthi Sundaram', 'Shengyu Zhang']",Linear time algorithm for quantum 2SAT,https://arxiv.org/pdf/1508.06340,10.48550/arXiv.1508.06340,Quantum Algorithm,
Boolean Satisfiability,2-SAT,,2015,,,,,,,,,,,"['Niel de Beaudrap', 'Sevag Gharibian']",A linear time algorithm for quantum 2SAT,https://arxiv.org/abs/1508.07338,10.48550/arXiv.1508.07338,Quantum Algorithm,
Boolean Satisfiability,k-SAT,,2023,,,,,,,,,,,"['Ashley Montanaro', 'Changpeng Shao', 'Dominic Verdon']",Testing quantum satisfiability,https://arxiv.org/abs/2301.10699,10.1007/s00220-025-05377-4,,
Boolean Satisfiability,k-SAT,,2024,,,,,,,,,,,"['Sami Boulebnane', 'Ashley Montanaro']",Solving Boolean Satisfiability Problems With The Quantum Approximate Optimization Algorithm,https://journals.aps.org/prxquantum/abstract/10.1103/PRXQuantum.5.030348,10.1103/PRXQuantum.5.030348,Quantum Approximate Optimization Algorithm,
Boolean Satisfiability,k-SAT,,2015,,,,,,,,,,,"['Christian Hermann', 'Martin Ziegler']",Computational Complexity of Quantum Satisﬁability,https://dl.acm.org/doi/epdf/10.1145/2869073,10.1145/2869073,Quantum Algorithm,
Eigenvalues (Iterative Methods),Any Eigenvalue,Variational Quantum Generalized Eigensolver (VQGE),2025,2.0,O(logn),,2.0,O(logn),1.0,,,,,"['Jiaxin Li', 'Zhaobing Fan', 'Hongmei Yao', 'Chunlin Yang', 'Shao-Ming Fei', 'Zi-Tong Zhou', 'Meng-Han Dou', 'Teng-Yang Ma']",Variational quantum algorithm for generalized eigenvalue problems of non-Hermitian systems',https://arxiv.org/abs/2507.04783,10.48550/arXiv.2507.04783,Quantum algorithm,
Eigenvalues (Iterative Methods),Any Eigenpair,Variational Quantum Generalized Eigensolver (VQGE),2025,2.0,O(logn),,2.0,O(logn),1.0,,,,,"['Jiaxin Li', 'Zhaobing Fan', 'Hongmei Yao', 'Chunlin Yang', 'Shao-Ming Fei', 'Zi-Tong Zhou', 'Meng-Han Dou', 'Teng-Yang Ma']",Variational quantum algorithm for generalized eigenvalue problems of non-Hermitian systems',https://arxiv.org/abs/2507.04783,10.48550/arXiv.2507.04783,Quantum algorithm,
Eigenvalues (Iterative Methods),Eigenpair with the Largest Eigenvalue,Quantum Power Method,2023,,O(logn * s^2 * k^2 / epsilon),,2.0,O(logn),1.0,,,1.0,,"['Nhat A. Nghiem', 'Tzu-Chieh Wei']",Quantum Algorithm For Estimating Eigenvalue,https://arxiv.org/abs/2211.06179,10.48550/arXiv.2211.06179,Quantum algorithm,
Eigenvalues (Iterative Methods),Symmetric Eigenvalue,Quantum Power Method,2023,,O(logn * s^2 * k^2 / epsilon),,2.0,O(logn),1.0,,,1.0,,"['Nhat A. Nghiem', 'Tzu-Chieh Wei']",Quantum Algorithm For Estimating Eigenvalue,https://arxiv.org/abs/2211.06179,10.48550/arXiv.2211.06179,Quantum algorithm,
The Traveling-Salesman Problem,Minimum TSP,,2025,,O(sqrt(2^(logd * N))),,3.0,O(n),1.0,,,,,"['Bai Xujun', 'Shang Yun']",Two-Step Quantum Search algorithm (TSQS) / Quantum Dynamic Programming,https://arxiv.org/abs/2502.08853,10.48550/arXiv.2502.08853,Quantum algorithm,Overcomes the O(n^2) qubit requirement
The Traveling-Salesman Problem,Approximate TSP,,2024,,,,1.0,O(1),1.0,1.0,,,,"['Kapil Goswami', 'Gagan Anekonda Veereshi', 'Peter Schmelcher', 'Rick Mukherjee']",Solving The Travelling Salesman Problem Using A Single Qubit,https://arxiv.org/abs/2407.17207,10.48550/arXiv.2407.17207,Quantum algorithm,"known to be polynomial speedup, but exact time complexity unknown"
Nearest Neighbor,Nearest Neighbor,,1996,,O(sqrt(N)),,,,,,,,Quantum Computing,"Christoph Durr, Peter Hoyer",A quantum algorithm for finding the minimum,https://arxiv.org/pdf/quant-ph/9607014,https://doi.org/10.48550/arXiv.quant-ph/9607014,,
Nearest Neighbor,Nearest Neighbor,,2013,,O(klog(kMN)),,,,,,,,Quantum Computing,"Seth Lloyd, Masoud Mohseni, Patrick Rebentrost",Quantum algorithms for supervised and unsupervised machine learning,https://arxiv.org/pdf/1307.0411,https://doi.org/10.48550/arXiv.1307.0411,,
Nearest Neighbor,Nearest Neighbor,,2014,,O( sqrt(M) * s^2 / epsilon^2 ),,,,,,,,Quantum Computing,"Nathan Wiebe, Ashish Kapoor, Krysta M Svore",Quantum Algorithms for Nearest-Neighbor Methods for Supervised and Unsupervised Learning,https://arxiv.org/pdf/1401.2142,https://doi.org/10.48550/arXiv.1401.2142,,
Nearest Neighbor,Nearest Neighbor,,2013,,,,,,,,,,Quantum Computing,"Esma Aimeur, Gilles Brassard, Sebastien Gambs",Quantum speed-up for unsupervised learning,https://link.springer.com/article/10.1007/s10994-012-5316-5,,,
Nearest Neighbor,Nearest Neighbor,,2018,,O~( (k d eta / delta^2) * kappa(V) * ( mu(V) + (k eta / delta) ) ; O~( k^2 d eta^2.5 / delta^3,,,,,,,,Quantum Computing,"Iordanis Kerenidis, Jonas Landman, Alessandro Luongo, Anupam Prakash",q-means: A quantum algorithm for unsupervised machine learning,https://arxiv.org/pdf/1812.03584,,,
Nearest Neighbor,Nearest Neighbor,,2024,,O~(sqrt(n*k)),,,,,,,,Quantum Computing,"Minbo Gao, Zhengfeng Ji, Qisheng Wang",Quantum Approximate k-Minimum Finding,https://arxiv.org/pdf/2412.16586,,,
Nearest Neighbor,Nearest Neighbor,,2025,,,,,,,,,,Quantum Computing,"Shuyin Xia, Xiaojiang Tian, Suzhen Yuan, Jeremiah D. Deng",Efficient Quantum Approximate kNN Algorithm via Granular-Ball Computing,https://arxiv.org/pdf/2505.23066,,,
Nearest Neighbor,Nearest Neighbor,,2021,,,,,,,,,,Quantum Computing,"Afrad Basheer, A. Afham, Sandeep K. Goyal",Quantum k nearest neighbors algorithm,https://arxiv.org/pdf/2003.09187,,,
Nearest Neighbor,Nearest Neighbor,,2023,,,,,,,,,,Quantum Computing,"Congcong Feng, Bo Zhao, Xin Zhou, Xiaodong Ding, Zheng Shan",An Enhanced Quantum K-Nearest Neighbor Classification Algorithm Based on Polar Distance,https://www.mdpi.com/1099-4300/25/1/127,,,
Nearest Neighbor,Nearest Neighbor,,2022,,,,,,,,,,Quantum Computing,"“Gao L-Z, Lu C-Y, Guo G-D, Zhang X and Lin S”",Quantum K-nearest neighbors classification algorithm based on Mahalanobis distance,https://www.frontiersin.org/journals/physics/articles/10.3389/fphy.2022.1047466/epub,,,
Nearest Neighbor,Nearest Neighbor,,2024,,,,,,,,,,Quantum Computing,"Enrico Zardini, Enrico Blanzieri, Davide Pastorello",A quantum k-nearest neighbors algorithm based on the Euclidean distance estimation,https://link.springer.com/article/10.1007/s42484-024-00155-2,,,
Nearest Neighbor,Nearest Neighbor,,2022,,,,,,,,,,Quantum Computing,"L. F. Quezada, Shi-Hai Dong, Guo-Hua Sun",Quantum version of the k-NN classifier based on a quantum sorting algorithm,https://arxiv.org/pdf/2204.03761,,,
Nearest Neighbor,Nearest Neighbor,,2017,,O(n^3),,,,,,,,Quantum Computing,"Yue Ruan, Xiling Xue, Heng Liu, Jianing Tan, Xi Li",Quantum Algorithm for K-Nearest Neighbors Classification Based on the Metric of Hamming Distance,https://link.springer.com/article/10.1007/s10773-017-3514-4,,,
Nearest Neighbor,Nearest Neighbor,,2021,,,,,,,,,,Quantum Computing,"Jing Li, Song Lin, Kai Yu, Gongde Guo",Quantum K-nearest neighbor classification algorithm based on Hamming distance,https://arxiv.org/pdf/2103.04253,,,
Optimal Binary Search Trees,Huffman Encoding,,2018,,O(N^2 * (logN) ^ a),,3.0,O(N),,,,,Quantum Computing,"['Samuel L. Braunstein', 'Christopher A. Fuchs', 'Daniel Gottesman', 'Hoi-Kwong Lo']",A quantum analog of Huffman coding,https://arxiv.org/abs/quant-ph/9805080,10.48550/arXiv.quant-ph/9805080,Quantum algorithm,
Optimal Binary Search Trees,Huffman Encoding,,2013,,O(n(log n)^2),,3.0,O(n),1.0,,,,Quantum Computing,"['A. S. Tolba', 'M. Z. Rashad', 'M. A. El-Dosuky']",Quantum-inspired Huffman Coding,https://arxiv.org/abs/1302.5130,10.48550/arXiv.1302.5130,,
Strongly Connected Components,Strongly Connected Components,,2021,4.5,O(n^(3/2) (log n)^2),,2.0,O(log n),1.0,,,,Quantum Computing,"['Salman Beigi', 'Leila Taghavi']",Time and Query-Optimal Quantum Algorithms Based on Decision Trees,https://arxiv.org/abs/2105.08309,10.48550/arXiv.2105.08309,,
Strongly Connected Components,Connected Components in an undirected graph,,2004,4.5,O(n^(3/2)),,2.0,O(log n),1.0,,,,Quantum Computing,"['Christoph Dürr', 'Mark Heiligman', 'Peter Høyer', 'Mehdi Mhalla']",Quantum query complexity of some graph problems,https://arxiv.org/abs/quant-ph/0401091,10.48550/arXiv.quant-ph/0401091,,
Strongly Connected Components,Transitive Closure of a symmetric Boolean matrix,,2012,3.0,O(n*sqrt(l) + l*sqrt(n)),,3.0,O(n),1.0,,,,Quantum Computing,['François Le Gall'],A Time-Efficient Output-Sensitive Quantum Algorithm for Boolean Matrix Multiplication,https://arxiv.org/abs/1201.6174,10.48550/arXiv.1201.6174,,
Matrix Chain Multiplication,Matrix Chain Ordering Problem,,2025,5.5,\tilde{O}(n^{2.5}),,5.0,O(n^2),1.0,,,,Quantum Computing,"['Susanna Caroppo', 'Giordano Da Lozzo', 'Giuseppe Di Battista', 'Michael T. Goodrich', 'Martin Nöllenburg']",Quantum Speedups for Polynomial-Time Dynamic Programming Algorithms,https://arxiv.org/abs/2507.00823,10.48550/arXiv.2507.00823,,
Matrix Chain Multiplication,Successive Matrix Multiplication,,2025,2.5,"O(\sqrt{K} poly(\log N, \kappa))",,2.0,O(\log N),1.0,1.0,,,Quantum Computing,"['Xinying Li', 'Pei-Lin Zheng', 'Chengkang Pan', 'Fei Wang', 'Chunfeng Cui', 'Xian Lu']",Faster quantum subroutine for matrix chain multiplication via Chebyshev approximation,https://pmc.ncbi.nlm.nih.gov/articles/PMC12325635/,10.1038/s41598-025-13092-2,,
Root Computation,Finding Polynomial Roots,,2015,7.0,O(poly(n)),,2.0,O(\log n),1.0,,,,Quantum Computing,"['T. Tansuwannont', 'S. Limkumnerd', 'S. Suwanna', 'P. Kalasuwan']",Quantum Phase Estimation Algorithm for Finding Polynomial Roots,https://arxiv.org/abs/1510.04452,10.48550/arXiv.1510.04452,,
Root Computation,Polynomial Root Finding Problem (Modulo M),,2014,2.5,O(\sqrt{M/t}),,2.0,O(\log M),1.0,,,,Quantum Computing,"['Guodong Sun', 'Shenghui Su', 'Maozhi Xu']",Quantum Algorithm for Polynomial Root Finding Problem,https://ieeexplore.ieee.org/document/7016940,10.1109/MINES.2014.24,,
Variance Calculations,Variance Estimation,,2024,2.0,O(\log N),,2.0,O(\log N),1.0,1.0,,1.0,Quantum Computing,"['Anna Bernasconi', 'Alessandro Berti', 'Gianna M. Del Corso', 'Riccardo Guidotti', 'Alessandro Poggiali']",Quantum Subroutine for Variance Estimation: Algorithmic Design and Applications,https://link.springer.com/article/10.1007/s42484-024-00213-9,10.1007/s42484-024-00213-9,,
Lowest Common Ancestor,All-Pairs LCA in DAGs,,2020,5.5,\tilde{O}(n^{2.434}),,5.0,O(n^2),1.0,,,1.0,Quantum Computing,"['Mirosław Kowaluk', 'Andrzej Lingas']",Quantum and Approximation Algorithms for Maximum Witnesses of Boolean Matrix Products,https://link.springer.com/chapter/10.1007/978-3-030-50020-4_24,10.1007/978-3-030-50020-4_24,,
The Set-Covering Problem,Set Cover,,2019,8.0,O^*(1.728^n),,8.0,O^*(1.728^n),1.0,,,1.0,Quantum Computing,"['Andris Ambainis', 'Kaspars Balodis', 'Jānis Iraids', 'Martins Kokainis', 'Krišjānis Prūsis', 'Jevgēnijs Vihrovs']",Quantum Speedups for Exponential-Time Dynamic Programming Algorithms,https://epubs.siam.org/doi/10.1137/1.9781611975482.106,10.1137/1.9781611975482.106,,
The Set-Covering Problem,Minimum Set-Cover,,2019,8.0,O(\sqrt{2^n} poly(m\,n)),,,1.0,,,1.0,Quantum Computing,['Pooya Ronagh'],Quantum Algorithms for Solving Dynamic Programming Problems,https://arxiv.org/abs/1906.02229,10.48550/arXiv.1906.02229,,
Sdd Systems Solvers,Laplacian and SDD Linear Systems Solving,,2022,2.5,\tilde{O}(\sqrt{m n}/\epsilon),,2.0,O(\log n),1.0,1.0,,1.0,Quantum Computing,"['Simon Apers', 'Ronald de Wolf']",Quantum Speedup for Graph Sparsification Cut Approximation and Laplacian Solving,https://epubs.siam.org/doi/10.1137/21M1391018,10.1137/21M1391018,,
Graph Coloring,Chromatic Number,,2024,8.0,O^*(1.7956^n),,8.0,O^*(2^n),1.0,,,1.0,Quantum Computing,"['Serge Gaspers', 'Jerry Zirui Li']","Quantum Algorithms for Graph Coloring and Other Partitioning, Covering, and Packing Problems",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2024.69,10.4230/LIPIcs.ICALP.2024.69,,
Graph Coloring,Chromatic Number,,2022,8.0,O(1.9140^n),,8.0,O^*(2^n),1.0,,,1.0,Quantum Computing,"['Kazuya Shimizu', 'Ryuhei Mori']",Exponential-Time Quantum Algorithms for Graph Coloring Problems,https://link.springer.com/article/10.1007/s00453-022-00976-2,10.1007/s00453-022-00976-2,,
Integral Equations,Fredholm Equations,Hierarchically Low Rank Compression QLSP,2026,2.0,\tilde{O}(\kappa \text{polylog}(N/\epsilon)),,2.0,O(\log N),1.0,1.0,,1.0,Quantum Computing,"['Kun Tang', 'Jun Lai']",Beyond Sparsity: Quantum Block Encoding for Dense Matrices via Hierarchically Low Rank Compression,https://arxiv.org/abs/2602.09745,10.48550/arXiv.2602.09745,,
Integral Equations,Volterra Equations,Quantum Wavelet Matrix Operations,2022,2.0,O(\text{poly}(\log N)),,2.0,O(\log N),1.0,1.0,,,Quantum Computing,"['Zhiguo Zhang', 'M. Kon']",Wavelet matrix operations and quantum transforms,https://doi.org/10.1016/j.amc.2022.127179,10.1016/j.amc.2022.127179,,
Data Compression,Lossy Compression,Quantum Discrete Cosine Transform Compression,2018,3.0,O(N),,2.0,O(\log N),1.0,1.0,,1.0,Quantum Computing,"['Ahmed A. Abd El-Latif', 'Bassem Abd-El-Atty', 'Salvador E. Venegas-Andraca']",Signal and Image Compression Using Quantum Discrete Cosine Transform,https://doi.org/10.1016/j.ins.2018.08.061,10.1016/j.ins.2018.08.061,,
Data Compression,Lossless Compression,Quantum Lossless IWT Compression,2021,2.0,\tilde{O}(\text{polylog}(N)),,2.0,O(\log N),1.0,,,,Quantum Computing,['Freddy Alejandro Chaurra Gutiérrez'],Quantum Approach to The Integer Wavelet Transform and Its Application to Quantum Lossless Compression,https://ccc.inaoep.mx/archivos/2021/CCC-22-001.pdf,,,
Discrete Fourier Transform,Discrete Fourier Transform,Quantum Fourier Transform,1994,2.5,O((\log N)^2),,2.0,O(\log N),1.0,,,,Quantum Computing,['Don Coppersmith'],An approximate Fourier transform useful in quantum factoring,https://arxiv.org/abs/quant-ph/0201067,10.48550/arXiv.quant-ph/0201067,,
Dfa Minimization,Cyclic Nontrivial SCCs DFA Minimization,Quantum Algorithm for Lexicographically Minimal String Rotation,2021,2.5,O(n^{3/4}),,2.0,O(\log n),1.0,,,1.0,Quantum Computing,"['Qisheng Wang', 'Mingsheng Ying']",Quantum Algorithm for Lexicographically Minimal String Rotation,https://arxiv.org/abs/2012.09376,10.1007/s00224-023-10146-8,,
Dfa Minimization,Cyclic Nontrivial SCCs DFA Minimization,Near-Optimal Quantum Algorithms for String Problems,2022,2.5,\tilde{O}(n^{1/2}),,2.0,O(\log n),1.0,,,1.0,Quantum Computing,"['Shyan Akmal', 'Ce Jin']",Near-Optimal Quantum Algorithms for String Problems,https://arxiv.org/abs/2110.09696,10.1137/1.9781611977073.109,,
